상호명,분류,영업상태,도로명주소,시군구명,공사립구분,위도,경도,인허가일자,폐업일자
바디팩토리 휘트니스,헬스장,폐업,"서울특별시 노원구 석계로 102 (월계동,주원빌딩 4층)",노원구,사립,37.62329638335286,127.05804870978722,2007-11-01,2020-10-08
레드콩고 여성헬스,헬스장,폐업,"서울특별시 동작구 노량진로 172, 대성제9주유소 3층,4층 (노량진동)",동작구,사립,37.51357439592003,126.9420181356305,2009-06-30,2022-09-27
골든휘트니스,헬스장,폐업,"서울특별시 마포구 양화로 28, 4층 (합정동)",마포구,사립,37.548511450686426,126.90953677647224,2006-07-19,2022-01-03
와드 피티 스튜디오,헬스장,폐업,서울특별시 마포구 성미산로 157 (연남동),마포구,사립,37.56463782963457,126.92076830743906,2018-03-19,2021-02-19
매봉헬스클럽(92),헬스장,폐업,서울특별시 강남구 논현로30길 32 (도곡동),강남구,사립,37.484330391797855,127.04161960202089,2001-01-08,2021-03-11
애니데이 피트니스(독산점),헬스장,폐업,"서울특별시 금천구 한내로 62, 상가동 지층 (독산동, 한신아파트)",금천구,사립,37.45555401870643,126.88646244375738,2016-04-01,2021-11-15
팀 서빈짐,헬스장,폐업,서울특별시 강남구 언주로113길 16 (논현동),강남구,사립,37.50932746176733,127.03309592485722,2020-12-15,2022-08-03
바디퓨처 PT GYM,헬스장,폐업,"서울특별시 강동구 고덕로 353, 고덕그라시움(제1상가) 2층 (고덕동)",강동구,사립,37.557905989995085,127.15973577869643,2020-12-22,2022-12-23
힛더짐 2호점,헬스장,폐업,"서울특별시 송파구 백제고분로40길 4, 옥당빌딩 지하 1층 (석촌동)",송파구,사립,37.50407663680258,127.10286357358119,2020-12-09,2020-12-15
정석PT,헬스장,폐업,"서울특별시 강남구 강남대로62길 11, 701호 (역삼동)",강남구,사립,37.490503842360255,127.02962832710664,2022-05-02,2022-10-17
메이드짐,헬스장,폐업,"서울특별시 구로구 디지털로33길 50, 벽산디지털밸리7차 2층 201,202호 (구로동)",구로구,사립,37.48750143994237,126.89108381439173,2022-06-03,2022-08-12
토브짐,헬스장,폐업,"서울특별시 종로구 우정국로2길 21, 대왕빌딩 9층 (관철동)",종로구,사립,37.5697065872816,126.98139099508235,2012-07-17,2020-03-23
GYM-MATE FITNESS CLUB,헬스장,폐업,"서울특별시 양천구 목동동로 385  (목동,벽산미라지타워 B1층)",양천구,사립,37.535864081891255,126.8766168816564,2008-08-08,2022-12-22
살롱드핏,헬스장,폐업,"서울특별시 용산구 이태원로15길 21-1, 지하2층 (이태원동)",용산구,사립,37.53492806113547,126.98739937944458,2021-04-27,2022-11-14
그랜드아쿠아24&휘트니스,헬스장,폐업,"서울특별시 강서구 화곡로 347, B202호 (화곡동, 그랜드아이파크)",강서구,사립,37.55485464772444,126.84836020754518,2011-02-16,2021-08-19
크로스핏 팀앤디,크로스핏,영업중,"서울특별시 광진구 광나루로 582, 지층 (구의동, 세종빌딩)",광진구,사립,37.543085841787054,127.0904750278415,2017-05-10,
크로스핏 아띠,크로스핏,영업중,"서울특별시 성동구 무학로 8, 승우카센타 지하1층 (도선동)",성동구,사립,37.564732791725376,127.02754955666538,2019-03-27,
골든크라운 크로스핏 서대문역,크로스핏,영업중,"서울특별시 중구 정동길 8, 지하1층 (정동)",중구,사립,37.56759464369823,126.96643359063029,2019-06-13,
크로스핏 송파,크로스핏,영업중,서울특별시 송파구 백제고분로46길 14 (송파동),송파구,사립,37.508087521249465,127.1096977736091,2019-05-08,
크로스핏 하쿠나마타타 신림,크로스핏,영업중,"서울특별시 관악구 신림로64길 25, 프라임빌 지하1층 (신림동)",관악구,사립,37.48521998203111,126.92830583478516,2019-05-30,
크로스핏 라온2,크로스핏,영업중,"서울특별시 광진구 용마산로 36, 지층 (중곡동)",광진구,사립,37.55678189123306,127.08548019378084,2019-06-27,
